"","X","workerid","item","slide_number","condition","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","obj1","obj2","obj3","ambiguous","numFeatures","obj1OC27","obj2OC27","obj3OC27","DPost_1","DPost_2","DPost_3","DPost_4","DPost_5","DPost_6","DPost_7","DPost_8","DPost_9","MPost1_1","MPost1_2","MPost1_3","MPost1_4","MPost1_5","MPost1_6","MPost1_7","MPost1_8","MPost1_9","MPost2_1","MPost2_2","MPost2_3","MPost2_4","MPost2_5","MPost2_6","MPost2_7","MPost2_8","MPost2_9"
"613",688,45,238,15,212132,"English","polka-dotted",0.7,"striped",1,"green",1,"square",0,"blue",0.7,NA,NA,NA,NA,NA,NA,NA,NA,331,331,323,"True",5,9,9,24,NA,NA,0,NA,0.294,0.206,0.206,NA,0.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"614",689,45,1858,16,123212,"English","square",1,"blue",0.7,"green",0.95,"cloud",0.65,"striped",0,NA,NA,NA,NA,NA,NA,NA,NA,323,121,121,"True",5,24,4,4,0.197,NA,0.303,NA,0,NA,0.212,NA,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"615",690,45,1161,17,212232,"English","blue",1,"cloud",1,"square",0.7,"red",0.7,"solid",0,NA,NA,NA,NA,NA,NA,NA,NA,312,311,112,"True",5,12,3,10,0.294,NA,0.206,0,NA,NA,0.294,0.206,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"616",691,46,329,3,213211,"English","circle",0,"cloud",0,"red",1,"striped",0,"polka-dotted",0,"solid",0,NA,NA,NA,NA,NA,NA,212,232,122,"True",6,11,17,13,0,0,NA,0,0,0,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"617",692,46,209,4,212132,"English","green",0,"red",0,"cloud",1,"solid",0,"striped",0,NA,NA,NA,NA,NA,NA,NA,NA,122,122,113,"True",5,13,13,19,1,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618",693,46,1960,5,323232,"English","striped",1,"circle",1,"green",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,223,223,"False",3,23,23,23,NA,0.333,NA,NA,0.333,NA,NA,NA,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"619",694,46,1310,6,122122,"English","striped",1,"cloud",1,"square",0,"solid",0,"blue",0,"red",0,NA,NA,NA,NA,NA,NA,111,122,321,"True",6,1,13,6,0.5,NA,0,0,0.5,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"620",695,46,2098,7,321111,"English","green",0,"square",0,"red",0,"circle",0,"blue",0,"solid",1,"cloud",0,NA,NA,NA,NA,211,312,113,"True",7,2,12,19,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"621",696,46,55,8,122111,"English","circle",0.7,"cloud",0,"polka-dotted",0,"solid",0.7,"green",0,"blue",0,"red",0,NA,NA,NA,NA,112,211,233,"True",7,10,2,26,0,0.5,NA,0.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"622",697,46,915,9,212121,"English","blue",0,"solid",0.75,"green",0.75,"square",0,"striped",0,"cloud",0.8,NA,NA,NA,NA,NA,NA,113,113,321,"False",6,19,19,6,0.348,NA,0,0.326,0,NA,0,NA,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"623",698,46,1946,10,111212,"English","circle",0,"blue",0.15,"square",0,"solid",0,"cloud",0.15,"striped",0.8,"red",0.8,NA,NA,NA,NA,111,322,222,"True",7,1,15,14,0.079,0,0,0,0.421,NA,0.079,0.421,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"624",699,46,76,11,122111,"English","blue",0,"red",0,"polka-dotted",0.8,"circle",0,"green",0,"cloud",0.85,"striped",0.1,NA,NA,NA,NA,121,132,233,"True",7,4,16,26,0.486,0,NA,NA,0.057,0.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"625",700,46,2336,12,123232,"English","cloud",1,"blue",0,"red",0,"solid",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,112,112,"True",4,1,10,10,0.5,NA,NA,0.5,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"626",701,46,1957,13,323232,"English","polka-dotted",1,"red",1,"square",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,332,332,"False",3,18,18,18,NA,NA,0.333,NA,NA,0.333,NA,0.333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627",702,46,1167,14,212232,"English","cloud",0,"blue",1,"polka-dotted",0,"striped",0,"square",0,NA,NA,NA,NA,NA,NA,NA,NA,321,331,121,"True",5,6,9,4,0,NA,0,NA,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"628",703,46,2296,15,213232,"English","striped",0,"polka-dotted",0,"circle",1,"blue",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,221,231,"True",4,5,5,8,NA,0.5,NA,NA,0,0,0.5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"629",704,46,931,16,212121,"English","square",0,"striped",0.75,"solid",0,"circle",0.75,"red",0,"blue",0.75,NA,NA,NA,NA,NA,NA,221,221,312,"False",6,5,5,12,NA,0.333,0,0,0.333,NA,0.333,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"630",705,46,934,17,212121,"English","red",0.7,"circle",0.7,"striped",0.7,"green",0,"square",0,"solid",0,NA,NA,NA,NA,NA,NA,222,222,313,"False",6,14,14,21,NA,0.333,0,0,0.333,NA,NA,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"631",706,47,327,3,213211,"English","polka-dotted",1,"cloud",0.95,"circle",0.05,"striped",0.95,"solid",0.15,"blue",0.05,NA,NA,NA,NA,NA,NA,231,221,111,"True",6,8,5,1,0.302,0.016,NA,0.048,0.302,0.317,0.016,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632",707,47,1217,4,112112,"English","blue",1,"square",0.05,"polka-dotted",0.05,"striped",1,"red",1,"circle",1,"green",0.95,NA,NA,NA,NA,322,331,233,"True",7,15,9,26,NA,0.198,0.01,NA,0.198,0.01,0.198,0.198,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"633",708,47,1760,5,322132,"English","polka-dotted",0,"cloud",0.05,"solid",0.15,"red",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,132,112,"True",4,16,16,10,0.25,NA,NA,0.75,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"634",709,47,845,6,112111,"English","polka-dotted",0.95,"striped",0,"cloud",0.95,"square",0.95,"red",0.95,"circle",0.95,"blue",0.95,"green",0.95,NA,NA,322,223,131,"True",8,15,23,7,0.143,0.143,0.143,NA,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635",710,47,2165,7,121111,"English","circle",0.95,"green",0,"cloud",0.95,"solid",0.15,"blue",0.95,"striped",0.95,"square",0.95,"polka-dotted",0.95,NA,NA,321,233,113,"True",8,6,26,19,0.162,0.162,0.162,0.026,0.162,0.162,0.162,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"636",711,47,1734,8,212112,"English","green",0.95,"red",0.95,"circle",0.95,"solid",0.15,"cloud",0.05,"striped",0,NA,NA,NA,NA,NA,NA,222,122,113,"True",6,14,13,19,0.016,0.311,NA,0.049,0,NA,NA,0.311,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"637",712,47,1296,9,111111,"English","solid",0.15,"blue",0.95,"cloud",0.95,"red",0.9,"square",0.95,"green",0.95,"striped",0.95,"circle",0.95,"polka-dotted",0.95,231,313,122,"False",9,8,21,13,0.123,0.123,0.123,0.019,0.123,0.123,0.123,0.117,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"638",713,47,1670,10,121212,"English","solid",0.2,"polka-dotted",0,"square",0.95,"cloud",0,"blue",0.05,"green",0.95,NA,NA,NA,NA,NA,NA,313,131,131,"False",6,21,7,7,0,NA,0.442,0.093,NA,0,0.023,NA,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"639",714,47,2136,11,111112,"English","cloud",0.9,"green",0,"square",0.9,"solid",0.2,"circle",0.95,"striped",0.95,"red",0.95,"polka-dotted",0.95,NA,NA,122,233,313,"True",8,13,26,21,0.155,0.164,0.155,0.034,0.164,0.164,NA,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"640",715,47,1683,12,121212,"English","square",0.05,"solid",0.15,"blue",1,"striped",0,"green",0,"circle",0.95,NA,NA,NA,NA,NA,NA,211,323,323,"False",6,2,24,24,NA,0.442,0.023,0.07,0,NA,0.465,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"641",716,47,1878,13,123212,"English","polka-dotted",0,"green",0,"circle",0,"striped",0.95,"blue",0.95,NA,NA,NA,NA,NA,NA,NA,NA,221,233,233,"True",5,5,26,26,NA,0,NA,NA,0.5,0,0.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"642",717,47,927,14,212121,"English","polka-dotted",0,"circle",1,"cloud",0.05,"green",0.95,"blue",0.05,"solid",0.15,NA,NA,NA,NA,NA,NA,131,131,213,"False",6,7,7,20,0.023,0.455,NA,0.068,NA,0,0.023,NA,0.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"643",718,47,297,15,212222,"English","polka-dotted",0.95,"solid",0,"cloud",0.95,"green",0.05,"square",0.05,"red",0.95,NA,NA,NA,NA,NA,NA,313,332,113,"True",6,21,18,19,0.322,NA,0.017,0,NA,0.322,NA,0.322,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"644",719,47,170,16,323212,"English","solid",0.95,"red",0,"striped",0,"circle",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,222,222,"True",4,11,14,14,NA,0,NA,1,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645",720,47,1991,17,323232,"English","red",0,"circle",0.05,"polka-dotted",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,232,232,"False",3,17,17,17,NA,0.5,NA,NA,NA,0.5,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"646",736,49,1964,3,323232,"English","red",0.1,"cloud",1,"striped",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,122,122,"False",3,13,13,13,0.588,NA,NA,NA,0.353,NA,NA,0.059,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"647",737,49,853,4,112122,"English","polka-dotted",0.65,"red",0,"striped",0,"circle",0.7,"cloud",0.8,"blue",0.9,"square",0,NA,NA,NA,NA,322,121,232,"True",7,15,4,17,0.262,0.23,0,NA,0,0.213,0.295,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"648",738,49,111,5,212111,"English","circle",0.9,"red",0,"polka-dotted",1,"green",0.95,"solid",1,"cloud",1,"square",1,NA,NA,NA,NA,312,112,233,"True",7,12,10,26,0.171,0.154,0.171,0.171,NA,0.171,NA,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"649",739,49,1285,6,111111,"English","square",1,"red",1,"cloud",1,"striped",1,"solid",1,"green",1,"circle",1,"blue",0.9,"polka-dotted",1,221,313,132,"False",9,5,21,16,0.112,0.112,0.112,0.112,0.112,0.112,0.101,0.112,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"650",740,49,1284,7,111111,"English","cloud",1,"solid",0.95,"striped",0.8,"polka-dotted",0.85,"circle",0.8,"green",0.85,"square",0.7,"red",1,"blue",0.9,223,111,332,"False",9,23,1,18,0.127,0.102,0.089,0.121,0.102,0.108,0.115,0.127,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"651",741,49,511,8,112132,"English","circle",0,"blue",0.95,"striped",1,"solid",1,"green",0,"polka-dotted",1,NA,NA,NA,NA,NA,NA,233,213,221,"True",6,26,20,5,NA,0,NA,0.253,0.253,0.253,0.241,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"652",742,49,918,9,212121,"English","green",0,"striped",0,"blue",1,"square",0,"cloud",1,"polka-dotted",1,NA,NA,NA,NA,NA,NA,323,323,131,"False",6,24,24,7,0.333,NA,0,NA,0,0.333,0.333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"653",743,49,1997,10,323232,"English","solid",0,"cloud",0,"red",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,112,112,"False",3,10,10,10,0.333,NA,NA,0.333,NA,NA,NA,0.333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"654",744,49,459,11,211111,"English","square",0.75,"blue",1,"circle",0.8,"solid",0.9,"green",1,"red",0.8,"cloud",1,"polka-dotted",0,NA,NA,233,332,111,"True",8,26,18,1,0.16,0.128,0.12,0.144,NA,0,0.16,0.128,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"655",745,49,817,12,112111,"English","polka-dotted",0,"circle",0.95,"green",1,"blue",1,"solid",1,"red",0.95,"square",0.9,"cloud",1,NA,NA,231,132,313,"True",8,8,16,21,0.147,0.14,0.132,0.147,NA,0,0.147,0.14,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"656",746,49,1105,13,321212,"English","polka-dotted",0,"cloud",0,"green",1,"striped",1,"blue",0,NA,NA,NA,NA,NA,NA,NA,NA,123,131,131,"True",5,22,7,7,0,NA,NA,NA,0.5,0,0,NA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"657",747,49,1320,14,122122,"English","polka-dotted",0,"solid",0.95,"green",0,"cloud",1,"circle",0,"blue",0.9,NA,NA,NA,NA,NA,NA,231,213,133,"True",6,8,20,25,0.351,0,NA,0.333,NA,0,0.316,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"658",748,49,2091,15,321111,"English","polka-dotted",1,"solid",0.75,"square",0,"striped",0.8,"green",0.8,"blue",0.9,"red",0.9,NA,NA,NA,NA,311,323,332,"True",7,3,24,18,NA,NA,0,0.146,0.155,0.194,0.175,0.175,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"659",749,49,631,16,112121,"English","cloud",0.9,"square",0.85,"striped",0,"blue",0,"green",0.95,"circle",0.9,"solid",1,NA,NA,NA,NA,121,221,313,"True",7,4,5,21,0.196,0.196,0.185,0.217,0,NA,0,NA,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"660",750,49,1197,17,212232,"English","red",0,"square",0,"circle",1,"green",1,"solid",0,NA,NA,NA,NA,NA,NA,NA,NA,312,313,212,"True",5,12,21,11,NA,0.5,0,0,NA,NA,NA,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"661",751,50,1972,3,323232,"english","polka-dotted",0.6,"blue",1,"cloud",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,131,131,"False",3,7,7,7,0.238,NA,NA,NA,NA,0.286,0.476,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"662",752,50,1927,4,111212,"english","green",1,"polka-dotted",1,"red",1,"blue",1,"cloud",0.45,"striped",0.45,"circle",0.4,NA,NA,NA,NA,131,222,223,"True",7,7,14,23,0.085,0.075,NA,NA,0.085,0.189,0.189,0.189,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"663",753,50,1251,5,111111,"english","circle",1,"blue",1,"green",1,"striped",1,"cloud",0.2,"solid",0.2,"polka-dotted",0.75,"red",1,"square",1,113,231,322,"False",9,19,8,15,0.028,0.14,0.14,0.028,0.14,0.105,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"664",754,50,1173,6,212232,"english","green",0,"circle",0,"blue",1,"square",1,"striped",0,NA,NA,NA,NA,NA,NA,NA,NA,223,323,221,"True",5,23,24,5,NA,0,0.5,NA,0,NA,0.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"665",755,50,1657,7,121212,"english","polka-dotted",0.2,"circle",0.95,"solid",1,"red",1,"green",0.2,"cloud",0.2,NA,NA,NA,NA,NA,NA,112,233,233,"False",6,10,26,26,0.056,0.268,NA,0.282,NA,0.056,NA,0.282,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"666",756,50,1676,8,121212,"english","red",1,"circle",0.8,"solid",0.25,"square",0.25,"striped",0.25,"blue",0.9,NA,NA,NA,NA,NA,NA,222,311,311,"False",6,14,3,3,NA,0.232,0.072,0.072,0.072,NA,0.261,0.29,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"667",757,50,1263,9,111111,"english","striped",1,"cloud",0.25,"square",1,"solid",0.95,"circle",1,"red",1,"green",1,"blue",1,"polka-dotted",1,233,321,112,"False",9,26,6,10,0.03,0.122,0.122,0.116,0.122,0.122,0.122,0.122,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"668",758,50,400,10,122132,"english","striped",0.2,"square",0,"green",1,"polka-dotted",1,"red",1,NA,NA,NA,NA,NA,NA,NA,NA,332,322,323,"True",5,18,15,24,NA,NA,0,NA,0.062,0.312,NA,0.312,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"669",759,50,2269,11,213232,"english","striped",0.75,"polka-dotted",1,"red",0.3,"cloud",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,122,132,"True",4,13,13,16,0.128,NA,NA,NA,0.319,0.426,NA,0.128,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"670",760,50,1424,12,322111,"english","striped",1,"square",0.95,"green",0.05,"polka-dotted",1,"cloud",0,"solid",1,NA,NA,NA,NA,NA,NA,123,133,313,"True",6,22,25,21,0,NA,0.238,0.25,0.25,0.25,NA,NA,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"671",761,50,2119,13,111112,"english","striped",1,"cloud",0,"circle",1,"red",1,"polka-dotted",1,"solid",0.95,"blue",1,"green",1,NA,NA,222,113,131,"True",8,14,19,7,0,0.144,NA,0.137,0.144,0.144,0.144,0.144,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"672",762,50,2012,14,322122,"english","striped",1,"green",0,"cloud",0,"square",1,"solid",0.65,NA,NA,NA,NA,NA,NA,NA,NA,113,123,313,"True",5,19,22,21,0,NA,0.377,0.245,0.377,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"673",763,50,535,15,112132,"english","blue",1,"red",1,"polka-dotted",1,"square",0,"striped",0,"green",0,NA,NA,NA,NA,NA,NA,322,321,333,"True",6,15,6,27,NA,NA,0,NA,0,0.333,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"674",764,50,1487,16,123211,"english","blue",1,"cloud",0,"polka-dotted",0,"circle",1,"square",1,"green",0,NA,NA,NA,NA,NA,NA,131,333,233,"True",6,7,27,26,0,0.333,0.333,NA,NA,0,0.333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"675",765,50,518,17,112132,"english","polka-dotted",1,"solid",1,"cloud",0.1,"striped",1,"circle",0.25,"blue",0.2,NA,NA,NA,NA,NA,NA,131,121,211,"True",6,7,4,2,0.028,0.07,NA,0.282,0.282,0.282,0.056,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"676",766,51,938,3,212121,"English","polka-dotted",0.05,"blue",0.05,"cloud",0,"circle",0.25,"solid",0.95,"red",0.05,NA,NA,NA,NA,NA,NA,232,232,111,"False",6,17,17,1,0,0.185,NA,0.704,NA,0.037,0.037,0.037,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"677",767,51,2167,4,121111,"English","polka-dotted",0,"solid",0.95,"blue",0.75,"red",0.05,"circle",0.2,"cloud",0,"striped",0.05,"square",0.05,NA,NA,332,121,211,"True",8,18,4,2,0,0.098,0.024,0.463,0.024,0,0.366,0.024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"678",768,51,1130,5,321212,"English","solid",0.95,"blue",0.05,"red",0.05,"cloud",0.05,"square",0,NA,NA,NA,NA,NA,NA,NA,NA,111,312,312,"True",5,1,12,12,0.045,NA,0,0.864,NA,NA,0.045,0.045,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"679",769,51,1522,6,322112,"English","cloud",0,"solid",0.95,"striped",0.05,"circle",0.1,"red",0.95,NA,NA,NA,NA,NA,NA,NA,NA,222,212,112,"True",5,14,11,10,0,0.049,NA,0.463,0.024,NA,NA,0.463,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"680",770,51,1057,7,113212,"English","square",0.05,"solid",0.95,"striped",0.05,"blue",0.95,"circle",0.1,"cloud",0.05,NA,NA,NA,NA,NA,NA,221,311,111,"True",6,5,3,1,0.023,0.047,0.023,0.442,0.023,NA,0.442,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"681",771,51,1669,8,121212,"English","red",0.1,"square",0.15,"cloud",0.05,"green",0.05,"solid",0.95,"striped",0.05,NA,NA,NA,NA,NA,NA,123,312,312,"False",6,22,12,12,0.037,NA,0.111,0.704,0.037,NA,NA,0.074,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"682",772,51,1288,9,111111,"English","green",0.05,"polka-dotted",0.05,"red",0.05,"cloud",0.05,"square",0.05,"solid",0.95,"blue",0.05,"circle",0.05,"striped",0.05,311,233,122,"False",9,3,26,13,0.037,0.037,0.037,0.704,0.037,0.037,0.037,0.037,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"683",773,51,2147,10,111112,"English","square",0.05,"circle",0.7,"polka-dotted",0.05,"green",0.05,"cloud",0.05,"solid",0.95,"red",0.35,"striped",0.05,NA,NA,213,122,332,"True",8,20,13,18,0.022,0.311,0.022,0.422,0.022,0.022,NA,0.156,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"684",774,51,2208,11,323211,"English","red",0.05,"circle",0.95,"solid",1,"green",0.05,"blue",0.05,NA,NA,NA,NA,NA,NA,NA,NA,211,212,213,"True",5,2,11,20,NA,0.452,NA,0.476,NA,NA,0.024,0.024,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"685",775,51,1333,12,122122,"English","cloud",0.05,"red",0.4,"polka-dotted",0.05,"square",0.05,"solid",0.95,"blue",0.05,NA,NA,NA,NA,NA,NA,311,332,112,"True",6,3,18,10,0.032,NA,0.032,0.613,NA,0.032,0.032,0.258,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"686",776,51,1981,13,323232,"English","circle",0.95,"solid",0.95,"blue",0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,211,211,"False",3,2,2,2,NA,0.333,NA,0.333,NA,NA,0.333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"687",777,51,1640,14,211112,"English","solid",0.95,"cloud",0.05,"circle",0.05,"striped",0.4,"square",0,"red",0.05,"blue",0.4,NA,NA,NA,NA,122,221,311,"True",7,13,5,3,0.026,0.026,0,0.5,0.211,NA,0.211,0.026,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"688",778,51,1984,15,323232,"English","solid",0.95,"green",0.95,"circle",0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,213,213,"False",3,20,20,20,NA,0.333,NA,0.333,NA,NA,NA,NA,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"689",779,51,271,16,212222,"English","square",0.4,"red",0.05,"circle",0.05,"solid",0.95,"green",0.35,"polka-dotted",0.05,NA,NA,NA,NA,NA,NA,313,212,333,"True",6,21,11,27,NA,0.027,0.216,0.514,NA,0.027,NA,0.027,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"690",780,51,510,17,112132,"English","striped",0.05,"circle",0.1,"cloud",0.05,"red",0.95,"solid",0.95,"square",0.05,NA,NA,NA,NA,NA,NA,212,312,122,"True",6,11,12,13,0.023,0.047,0.023,0.442,0.023,NA,NA,0.442,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"691",781,52,485,3,211111,"English","green",0.3,"polka-dotted",0.7,"blue",0.75,"circle",0.3,"solid",0.75,"red",0.85,"cloud",0.8,"square",0.65,NA,NA,233,332,111,"True",8,26,18,1,0.157,0.059,0.127,0.147,NA,0.137,0.147,0.167,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"692",782,52,907,4,212121,"English","solid",0.3,"polka-dotted",0.85,"circle",0.95,"blue",0.35,"green",0.3,"cloud",0.7,NA,NA,NA,NA,NA,NA,113,113,231,"False",6,19,19,8,0.203,0.275,NA,0.087,NA,0.246,0.101,NA,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"693",783,52,1902,5,111212,"English","green",0.7,"circle",0.35,"solid",0.3,"red",0.75,"square",0.95,"polka-dotted",0.3,"blue",0.25,NA,NA,NA,NA,233,312,311,"True",7,26,12,3,NA,0.097,0.264,0.083,NA,0.083,0.069,0.208,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"694",784,52,138,6,212111,"English","circle",0.65,"cloud",0.85,"striped",0.35,"solid",0.65,"red",0.85,"green",0.75,"square",0.3,NA,NA,NA,NA,123,323,212,"True",7,22,24,11,0.193,0.148,0.068,0.148,0.08,NA,NA,0.193,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"695",785,52,2085,7,321111,"English","polka-dotted",0.6,"circle",0.7,"cloud",0.9,"green",0.6,"solid",0.35,"striped",0.1,"square",0.25,NA,NA,NA,NA,323,133,213,"True",7,24,25,20,0.257,0.2,0.071,0.1,0.029,0.171,NA,NA,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"696",786,52,1984,8,323232,"English","circle",0.65,"green",0.6,"solid",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,213,213,"False",3,20,20,20,NA,0.317,NA,0.39,NA,NA,NA,NA,0.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
